课程号,课程名称
2300223,刑法学专题研究
2300224,国际经济法专题研究
2300251,民商法前沿理论
2300306,国防科技与法律
2300326,国际民事诉讼法
2300329,国际谈判理论与实务
2300340,法学论文写作
2300341,刑法分论专题
2300350,法律写作
2300352,刑法实务
2300354,模拟法庭
2300355,法律谈判
2300357,个人信息保护法专题
2300358,电子商务法专题
2300359,数据法专题
2300361,智慧司法学专题
2300363,中国空间政策与法律
2300364,空间法案例研习
2300367,国际争端解决原理与实务
2300368,刑法解释方法
2300369,网络与信息法专题
2300373,国家安全法专题
2300374,国际投资法专题
2300376,数据刑法
2300377,知识产权的刑法保护
2300378,企业合规理论与实践
2300379,公诉业务
2300380,侦查与调查实务
2300381,刑事审判实务
2300382,数据技术安全风险与法治应对
2300383,国际司法协助原理与实务
2300384,海商法专题
2300385,商行为法专题
2300386,公司法专题
2300702,马克思主义与社会科学方法论
2300703,硕士公共英语
2301001,（英）国际法原论
2301004,（英）国际经济法研究
2301005,（英）工业产权法前沿问题研究
2301007,（英）比较合同法
2301010,（英）国际组织法专题
2301014,国际法与比较法前沿
2400031,跨文化交际英语
2400041,学术交流英语
2400061,学术英语写作
2400062,国际学术交流英语
2400107,文学理论与批评
2400114,日语语义学
2400120,认知语言学
2400135,科技翻译工作坊（英-汉）
2400136,科技翻译工作坊（汉-英）
2400137,机械工程英语与翻译
2400141,经济英语与翻译
2400142,翻译批评与赏析
2400145,会议口译
2400152,国外汉语课堂教学案例分析
2400154,汉语教学研究方法
2400158,教学测试与评估
2400159,中华文化才艺与展示
2400182,汉语语法专题研究
2400183,句法经典文献选读
2400184,语言测试与评估
2400195,汉语教学资源及其利用
2400201,汉字文化
2400203,中国当代科技
2400204,德汉语言实用对比研究
2400208,加拿大文化
2400214,翻译硕士学位论文写作
2400215,尼日利亚文化
2400218,社会语言学
2400219,科技口译工作坊
2400227,二十世纪女性作家经典
2400235,研究方法与学术论文写作
2400238,外国语言文学学科前沿II
2400239,实验语音学
2400241,外语教学
2400244,句法专题研究
2400247,欧美文学经典
2400248,英美文学主文献研读
2400249,美国文学与文化透视
2400253,日汉笔译专题
2400254,德语文学专题研讨
2400255,德语文学经典文献研读
2400258,当代德语小说
2400259,跨文化比较与传媒
2400262,智能翻译技术与应用
2400265,当代翻译前沿研究专题
2400267,理解当代中国高级汉英口译
2400268,高级中文听说教程
2400269,应用语言学专题研讨
2400270,德语语料库语言学
2400271,心理语言学
2400276,中国现当代文学
2400277,国际中文教育专业论文写作
2400281,中英科技文化交流实践
2500065,建筑意匠
2500067,遗产影像创意
2500069,环境空间形态解析
2500070,综合媒介造型研究
2500073,图像视觉语言与生成分析
2500074,整合创新设计研究
2500075,交互设计与用户体验研究
2500076,绘画形式与观念
2500077,设计形态学
2500078,人机系统研究
2500085,复杂信息系统设计研究
2500086,体育与艺术素养
2500087,智慧系统创意代码设计
2500089,消费心理学
2500095,设计与艺术文化思潮
2500107,设计实践（工业设计及理论）
2500108,设计战略与管理
2500109,中国传统家具鉴赏
2500110,中国民间艺术与创新设计
2500111,人文考察与艺术实践
2500112,设计专业英文学术写作
2500113,数字媒体与交互叙事研究
2500114,当代艺术的实践与应用
2500115,健康空间设计
2500116,交通工具创意与创新
2500117,传统造物传承与创新
2500120,视觉审美与设计表达
2500121,艺术创作类型与方案
2500123,环境艺术设计工作坊
2500124,中国古典园林
2500126,专题设计研究（工业设计/产品设计）
2500127,专题设计研究（艺术创新设计）
2500128,专题设计研究（环境艺术设计）
2500129,专题设计研究(视觉传达设计)
2500130,专题设计研究(实验艺术)
2500131,文化遗产再生设计方法
2501001,（英）色彩设计与研究
3210002,生物医用材料导论
3210005,分子探针与医学影像
3210008,生物医学大数据
3210009,病原体检测及医学应用
3210010,计算机听觉医学应用
3210011,临床色谱质谱学
3210013,微纳方法与仪器技术
3210014,医学生化与分子生物学
3300002,网络影视课程编导论
3300003,人工智能与教育
3300005,远程系统开发技术
3300006,教育数字媒体技术
3300010,课件游戏仿真系统设计
3300015,专业领域发展前沿专题
3300016,信息技术与教学应用
3300017,专业应用案例设计
3300018,职业教育信息化
3300019,班主任与班级管理
3300020,职业教育政策与法规
3300102,马克思主义与社会科学方法论
3300103,职教硕士公共英语
3300304,管理信息系统
3300306,现代管理理论与方法
4500001,习近平总书记关于教育的重要论述研究
4500003,心理测量与评估
4500004,工程教育国际比较
4500005,工程哲学
4500006,工程教育课程与教学
4500007,工程教育技术
4500008,工程管理概论
4500009,教育大数据分析
4500010,人工智能教育
4500011,数字科普作品策划与制作
4500012,人工智能与科学传播
4500013,学术论文写作
4500014,工程教育前沿
4500015,智慧教育技术前沿
4500016,教育大数据与人工智能
4500017,教育技术学
4500018,学术论文智能化写作
9400001,创新创业
99900005,流行音乐欣赏与实践
99900012,舞蹈艺术鉴赏
99900013,西方现代流行音乐赏析
99900038,中国戏曲艺术赏析
99900047,全国数学建模竞赛辅导
99900080,现代通信技术概论
99900085,感悟考古
99900105,电子科学与技术设计、实验与制作I
99900207,经络腧穴概论（北中医）
99900215,生命科学导论
99900230,现代汽车前沿新技术专题
99900238,影视台词与朗诵
99900253,机电控制与检测综合实验技术
99900268,基于人因工程的生理及认知心理研究
99900269,含氮化合物制备与表征
99900276,数学实验
99900283,Matlab在工程及实验数据处理中的应用
99900293,生物医用高分子材料研究实验
99900308,现代汽车艺术鉴赏
99900331,电动机的单片机控制(1)
99900332,基于Solidworks的三维实体设计与动态装配
99900337,现代数据分析
99900338,兵器设计与实验
99900350,SPSS软件及统计分析
99900364,电影音乐
99900365,现代舞基础训练
99900407,国乐之美
99900436,新材料技术
99900437,城市灾害的防范与应对
99900444,大学语文
99900478,智能型天然高分子材料研究
99900511,CAE及其在航天技术中的应用
99900530,数码相机性能评测
99900538,多体制数字移动通信技术
99900553,颜色科学与应用
99900562,微区光谱探测及相关技术
99900589,视觉游牧——西方美术史
99900590,视唱练耳
99900593,信息科学技术通识
99900609,中西方传统文化
99900616,有机材料结构分析实践
99900617,生活化学实验
99900618,生活陶瓷器皿制作实践
99900620,年画剪纸研究制作实验
99900623,漆工艺品设计与制作
99900636,微机组装检测与维护
99900637,可编程逻辑器件设计实践课程
99900703,钢琴艺术
99900716,机电控制技术基础
99900723,人机交互技术及应用
99900740,气味美学与香道
99900745,数字图像处理技术与实践
99900746,基于FPGA平台的电信传输系统设计实验
99900748,Python程序设计基础
99900761,数控车削编程与创新制作
99900774,飞行器结构优化实践
99900775,卫星系统设计与MWORKS优化实践
99900776,原子尺度模拟技术：入门与应用
99900777,诗意力学
99900778,飞行原理与航空安全事故分析
99900779,C++数值软件开发实战
99900780,太阳能定轨迹小车的设计与制作
99900781,劳动创造美：动力机械音乐装置的无限可能
99900782,工程实践：制造技术与掐丝珐琅的奇妙碰撞
99900783,零一创新思维导引
99900784,实验设计与数据科学基础
99900785,AR/VR光学显示原理与产业现状
99900787,金属材料工程设计
99900788,有机奇妙探秘：有趣材料的合成与应用
99900792,戏剧中的近现代史
99900793,新兴科技与未来教育
99900794,职场礼仪
99900801,武器系统概论
99900804,新能源技术概论
99900805,产业生态与循环经济应用
99900811,中西文化交流与丝绸之路考古
99900815,飞行器系统优化设计
99900816,绿色能源飞行器总体设计
99900820,生活中的纳米技术
99900826,中国昆曲艺术
99900828,汽车电子单片机系统设计
99900834,琴道与美学
99900835,近代化学的发展
99900843,空中机器人设计与飞行试验
99900852,基础微生物学实验
99900854,大学生科学技术研究基础
99900873,航空航天与兵器概论
99900875,天文学概论
99900880,阻燃科学与技术引论
99900914,机器学习理论和实践
99900915,身边的高分子材料—回收、鉴定、加工与性能
99900918,生命科学基础实验
99900939,国际法导论(双语)
99900942,化学与社会生活
99900947,唐宋诗词欣赏
99900949,科幻电影与认知哲学
99900952,近代日本的中国观察
99900961,MySQL数据库设计和开发
99900962,传统手工造纸研究与纸艺实践
99900964,空间美学与花道
99900978,少数民族神话赏析（网络课堂）
99900982,Introduction to Virtual Augmented Reality
99900985,生物技术与诺贝尔奖
99900986,透过数学看世界
99900987,工程与社会
99900988,科学史与人类文明
99900992,核磁共振波谱技术实践
99900993,合唱艺术的学习与实践
99900994,交响乐艺术的学习与实践
99900997,民族器乐实践
99900998,舞台与影视表演艺术
99901019,新闻摄影（网络课堂）
99901044,茶文化与陶瓷茶器具创作实践
99901046,文化创意与旅游规划
99901058,国防科技中的纳米技术
99901060,集合论——开启理性思维的钥匙
99901062,MATLAB在自动化工程中的应用
99901082,虚拟仪器设计与应用
99901085,声乐艺术的技巧掌握与实践
99901100,《红楼梦》导读
99901166,面向未来材料的科技创新与产业融合教育
99901168,MWORKS平台技术应用概论
99901169,大学生电动方程式赛车概论
99901170,新能源汽车品牌故事
99901171,高效节能车发动机性能测试与标定技术
99901172,基于Mworks的车辆动力系统建模仿真
99901173,高效节能车动力系统性能一维仿真设计技术
99901175,科研方法导论与实践
99901176,高效节能车氢动力系统原理与性能测试
99901177,智能化增材制造技术
99901178,探究大语言模型的前世今生
99901180,网络安全与数据安全
99901182,认知科学初探
99901184,氮材料
99901186,大学化学实验
99901188,微生物学实验与应用
99901191,重大疾病的发生机制及生物治疗
99901198,人机协同与智能社会：机遇与挑战
99901199,科技人才成长与素养
99901200,琴道与美学（进阶班）
99901223,幸福心理学
99901227,古都与文化
99901228,合理用药与健康
99901232,食品与日用品的检测
99901235,微信小程序开发
99901237,智能材料概论
99901317,智能语音交互技术
99901320,走近机器视觉
99901325,中国古代玉器文化
99901329,创造思维与审美
99901335,世界遗产鉴赏
99901344,摄影技术与实践
99901345,新能源飞行器能源管理与控制
99901347,Matlab图像处理的科研实训
99901348,基于指尖陀螺的创新设计与制作
99901349,基于益智玩具的创新设计与制作
99901351,汽车雷达测试系统设计与实践
99901360,Node.jsWEb应用程序开发
99901361,Web前端项目实战开发
99901362,人是如何学习的—学习科学导论
99901381,国际谈判与争议解决
99901392,逻辑与思维训练
99901402,飞行奥秘的探索
99901409,量子精密测量技术
99901412,唐诗经典诵读
99901417,工笔重彩绘画实践
99901427,学术论文写作与表达
99901428,物质科学与大国重材
99901432,大国装甲
99901433,大数据思维与技术
99901434,大数据技术导论
99901435,人工智能导论
99901436,材料科学发展史-多学科的融合与创新
99901437,经典导读：草木诗经
99901441,大学生与民法
99901446,科技论文写作
99901453,流行音乐赏析
99901459,传统植物染工艺与实践
99901460,现当代陶瓷艺术赏析
99901461,视觉审美与设计赏析
99901462,力学简史
99901463,科学中的美
99901465,国际贸易法律基础与纠纷处理
99901478,光电子芯片前沿概论
99901480,以计算化学的视角认知物质世界
99901494,工程创新设计与实践
99901499,FPGA系统开发实践
99901509,中国古代史（网络课堂）
99901515,影像中的人类学（网络课堂）
99901520,物联网与边缘智能
99901522,微生物与免疫
99901527,心理发展与教育
99901528,世界著名大学欣赏
99901531,哲学与人工智能
99901532,美学透视
99901535,生活中的犯罪与刑罚
99901547,普通昆虫学（网络课堂）
99901548,《资治通鉴》精读-治国之道的史学表达（网络课堂）
99901551,常用急救技术I（北中医）
99901552,现代文学名家短章精读
99901557,舌尖上的历史与文化（网络课堂）
99901558,普通心理学（网络课堂）
99901584,新能源飞行器绿色感知与评估
99901585,飞行控制系统的原型系统技术B
99901587,星辰征途简史--从地球到太阳系边际
99901593,3D打印设备DIY设计与搭建
99901598,汽车全生命周期碳减排技术
99901600,微小型智能机器人设计与制作
99901601,碳中和技术原理与应用
99901604,医学检测仪器概述
99901611,导弹创新概论
99901612,基于公安刑侦的分析测试技术
99901621,《红楼梦》精读
99901622,科幻文学
99901623,汉字与中国文化
99901625,不一样的宏观经济学入门指南
99901630,数据法律与个人信息安全
99901632,语言与认知：探索大脑的奥秘
99901634,体验敦煌之美——图案艺术
99901659,大学日语I
99901669,智能机器人技术之触摸屏开发
99901670,机械相关学科职涯规划
99901672,超导简史
99901673,航天科技发展与实践
99901674,史记选读
99901676,话剧名家名剧表演赏析
99901677,创业法律知识基础
99901680,数码影像技术与艺术
99901681,文艺复兴时期经典杰作临摹与创化
99901684,书法艺术入门
99901688,深度学习原理及应用
99901689,智能化无人作战系统
99901690,传热学概论和前沿
99901693,代谢原理与人类健康
99902098,基于科学方法的技术创新
99911037,当代中国社会热点问题研究
99911050,创意写作
99911055,产品设计与产业转化
99911056,安全概论
99911062,高压科学与技术
99911065,功能高分子与智慧生活
99911066,新中国政治经济史（1949-1976）
99911071,弘历谈玉
99911078,智慧养老
99911079,职业规划与生涯幸福
99911082,微机电系统技术
99911084,智能制造系统的编程与远程通讯实践
99911085,工业机器人认知与实践
99911103,奇妙的力学实验
99911104,工程实践：传统榫卯结构工艺作品设计与制作
99911106,网络知识的检索、管理和展示
99911107,电影中的汽车文化
99911111,基于尤克里里制作的实践创新训练
99911112,生活中的光学
99911114,牛顿环分析的新视角——信号处理和数据分析
99911117,自我认知与情绪管理
99911119,舌尖上的科学
99911120,生物技术漫谈
99911131,经典阅读与唐宋文化
99911132,延安文艺与革命中国
99911133,流光溢彩——中国音乐史话
99911134,幸福导论
99911139,风景画创新表现
99911145,生物制药创新设计
99911149,敢闯会创：大学生创新创业实务
99911157,跨学科学习和跨界创新
99911158,飞机的心脏-航空发动机概论
99911162,空天飞行器技术概论
99911166,储能科学概论
99911167,现代战争的障眼术-隐身和诱骗
99911168,汽车知识通览
99911170,陆空两栖智能平台认识与实践
99911171,智能驾驶系统概论与软件开发实践（双语）
99911172,科幻作品中的光学技术
99911173,从负折射到隐身衣-微纳光学研究进展
99911174,大数据时代下的创新思维
99911175,碳中和与高分子材料
99911176,智能物联网应用设计
99911178,现代生命科学技术与人类生活
99911184,中文实用写作：素养与训练
99911186,中文写作与表达沟通
99911187,速写艺术鉴赏与实践
99911188,日用化学品的复配原理与技术实训
99911194,环境中的化学
99911198,文化遗产史与文化思潮
99911201,中医养生适宜技术（北中医）
99911238,北斗卫星导航定位设计与试验
99911239,材料微观世界及力学起源
99911241,航天器结构概论
99911243,等离子体技术及应用
99911244,深空探测自主导航系统设计
99911245,航天推进技术实践
99911246,跨介质飞行器流体动力学概论
99911247,水下发射多相流模拟方法与应用实例
99911248,科技创新突破方法与专利技巧实践
99911252,一沙一世界：从硅到微系统
99911254,俄罗斯经典艺术作品赏析（中俄双语）
99911255,材料的奥秘
99911257,有机奇妙探秘：实用材料的合成与应用
99911258,储能电池的认识与基础实践
99911260,生物分子工程中的人工智能方法
99911261,化妆品中的化学
99911269,西方音乐史
99911270,国学与当代
99911281,能源变革与人类文明发展
99911282,俄罗斯电影赏析（中俄双语）
99911283,爱情心理学
99911284,兵棋与博弈：游戏中的智慧
99911285,金工锤的艺术设计与精工细作
99911286,电影中的教育学
